Time,C7,T10,CLAV,LFIN,LPSI,RBHD,RFIN,LFHD,RFHD,STRN,LBHD,LSHO,RSHO,LELB,RELB,LWRB,RWRB,LWRA,RWRA,LASI,RASI,LKNE,RKNE,LANK,RANK,LHEE,RHEE,LTOE,RTOE,RPSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-961.6821259,-897.2808719,-891.7640895,-892.7609771,-1109.476238,-1104.652584,-1107.304394,84.79485288,-891.0110593,-508.3817989,-801.9013703,658.0147147,-344.9753672,554.1488528,-194.0749772,-207.1838081,-983.8302433,-407.1505368,-1006.853282,405.8082402,-402.0826891,512.8904432,369.2759201,1556.67156,1458.65798,1657.802463,1487.463564,546.9496176,425.3612831,-302.0826891,-5836.402774,-6221.563816,-6225.139499,-6230.421066,-6172.917485,-6182.466745,-6196.567416,-6327.114105,-6225.531697,-5707.243085,-5656.326413,-4693.440497,-4695.424139,-2279.958278,-1988.460422,1.628308528,167.2994718,173.3239368,351.2821719,15.61499666,-21.80362353,4037.099779,3981.868029,7668.583989,7853.601575,8113.634586,8320.994377,8547.230959,8663.777709,-21.80362353,-2085.487843,-2124.720067,-2117.668986,-2120.575309,-1885.316223,-1892.893761,-1882.999092,-1777.431071,-789.0126854,-1948.102415,-1653.660536,-2307.00925,669.4374233,-2852.192521,1181.917638,-3062.532544,434.8466173,-3042.940795,280.3149447,-928.395614,944.0438449,-902.2967517,1467.094719,-699.7650117,1888.476014,-777.0320773,1879.660487,-1821.509749,1261.162013,944.0438449
0.5,-940.3792769,-871.3195473,-865.7180518,-866.8807149,-1088.824645,-1084.013879,-1086.391285,124.0126044,-877.7285367,-482.9796031,-783.2627743,705.3571939,-345.5281258,606.6084281,-248.62241,-151.827829,-1197.022945,-351.8109769,-1222.041994,410.3692621,-406.6076502,563.0274862,405.960083,1632.248908,1519.628018,1730.885059,1545.683742,601.189658,443.7491298,-306.6076502,-5872.850418,-6256.477237,-6260.26988,-6265.264153,-6203.901172,-6213.528514,-6227.702498,-6357.852817,-6241.68694,-5742.055178,-5686.326623,-4712.319672,-4696.052969,-2286.17087,-1968.007833,-27.41180593,173.4742895,144.7209902,357.8523919,15.86424769,-22.03617012,4035.482705,3986.919224,7672.567964,7858.781815,8118.409514,8326.03395,8535.526395,8667.225838,-22.03617012,-2065.524608,-2104.53704,-2097.402364,-2100.277543,-1863.541305,-1870.979667,-1861.061007,-1744.461805,-760.4209334,-1933.279634,-1636.481732,-2265.289277,685.9459728,-2811.761498,1214.693561,-3023.220003,446.8938708,-3008.252978,291.2196144,-932.5701743,948.1616318,-933.0701828,1507.488489,-765.9893483,1973.659247,-848.4613895,1970.525831,-1907.650828,1381.062269,948.1616318
1,-944.8059648,-879.0377527,-873.4429628,-874.6548742,-1095.996574,-1091.171429,-1093.508378,118.0100441,-846.6880023,-484.9211499,-779.6357572,758.7939501,-318.6315298,698.7507641,-259.8206885,-107.4241474,-1299.106032,-318.0704266,-1344.339699,410.9824076,-407.2387889,564.0112981,424.2517799,1645.111144,1560.60338,1742.4348,1587.850004,598.7513438,460.0026086,-307.2387889,-5876.423717,-6260.80215,-6264.646053,-6269.581318,-6206.36344,-6216.042042,-6230.2351,-6368.144751,-6244.250536,-5747.531056,-5689.591765,-4717.077315,-4701.614976,-2291.678041,-1973.557472,-32.19756298,118.9544704,137.7476659,296.8585305,16.41632523,-22.60499401,4032.571018,3986.743391,7680.651546,7863.438129,8128.287196,8331.307769,8535.17592,8667.535186,-22.60499401,-1976.885349,-2023.137212,-2015.915513,-2018.442005,-1767.148077,-1774.182022,-1764.089167,-1720.34651,-671.1176783,-1868.769675,-1550.224572,-2240.511477,734.6463203,-2792.65672,1340.484768,-3010.537922,548.7500131,-2995.738685,387.2704878,-935.9167516,951.4994919,-966.4693475,1514.118165,-826.9518614,1976.347715,-911.9868279,1972.260922,-1973.44318,1384.022981,951.4994919
1.5,-897.3872662,-835.5084807,-828.6054432,-831.6425979,-1057.935208,-1054.594293,-1054.259539,127.6732702,-865.5229956,-453.6870122,-754.2516291,1026.718318,-730.5887341,1211.754531,-1407.02799,509.0076476,-2291.211337,319.9365735,-2257.758975,553.4858257,-548.9234626,525.8734524,370.8416596,1358.271092,1315.527707,1452.653259,1338.679194,552.4993688,171.9746739,-448.9234626,-5964.686871,-6343.434453,-6350.7092,-6352.148056,-6302.22559,-6310.727,-6325.660944,-6375.784874,-6271.629333,-5792.819262,-5738.096833,-4689.781964,-4582.200348,-2131.455392,-2207.688689,74.77372885,-2501.235008,219.6322568,-2547.566593,11.86996815,-18.88216357,4101.532698,3959.713876,7690.065503,7861.760259,8138.405085,8331.551552,8639.651537,8672.218323,-18.88216357,-1980.843991,-2002.940178,-1997.951865,-1996.386945,-1790.456772,-1796.535254,-1785.145551,-1584.139317,-712.9374146,-1832.810789,-1551.373005,-1828.104109,700.6654888,-1980.94368,115.5872177,-2137.534022,-2456.147373,-2187.914252,-2562.988102,-885.9469742,900.9900689,-917.313844,1169.337109,-735.3515923,1675.050259,-803.7213981,1648.627222,-1886.052787,836.5632594,900.9900689
2,-1086.781546,-1057.961285,-1052.387506,-1055.311337,-1145.689562,-1141.939759,-1143.241078,-73.66531063,-653.9496779,-618.7698245,-788.1382853,1037.574634,-554.0826172,1202.246547,-1189.049855,559.0412021,-2779.817283,336.904265,-2886.913419,567.3221871,-563.7472868,523.4196782,401.2342915,1338.741332,1338.696778,1416.912377,1335.772872,534.5794186,117.582297,-463.7472868,-6025.698185,-6404.786706,-6412.836909,-6413.31017,-6364.93206,-6373.215318,-6388.357878,-6441.25402,-6339.938641,-5845.108032,-5791.856647,-4718.906879,-4644.214809,-2110.085338,-2688.922286,79.87787016,-2555.757165,225.1477912,-2573.409677,9.504031041,-16.69260906,4141.945839,3963.000774,7767.002583,7905.954123,8231.183887,8389.99629,8735.012412,8717.980385,-16.69260906,-949.2225945,-1116.414145,-1109.360084,-1110.76124,-830.8499306,-838.4470642,-828.0842751,-1294.258088,-125.1216047,-1014.711112,-651.5767425,-1674.670428,920.2702343,-2075.839341,1957.062632,-2316.89319,1777.758002,-2341.651618,1632.711738,-853.9094031,868.4265614,-855.2952111,1072.115973,-562.4196678,1444.521248,-620.6319854,1439.219117,-1681.202948,744.3188876,868.4265614
2.5,-1969.257444,-2199.234068,-2192.796618,-2194.746435,-2164.732516,-2159.179151,-2162.786126,-1418.385059,-1366.443187,-1476.482451,-1464.453489,-203.4546435,-273.1294185,-404.0428996,-42.4010586,-796.7858762,-729.393512,-924.2496639,-783.0880582,110.6018107,-107.9191081,49.44676533,505.2186921,1139.522195,1222.20546,1264.039427,1199.671179,109.0846863,105.5809204,-7.919108123,-5033.192039,-5366.419554,-5370.981693,-5377.317071,-5380.384922,-5390.049815,-5404.415131,-5735.111833,-5924.480557,-5063.123107,-5094.220042,-4511.306882,-4662.212729,-2090.313733,-2159.623951,187.5239797,428.4024611,377.2661835,632.2140992,16.26134268,-23.6189994,4092.401564,3930.246532,7788.196206,7828.426957,8249.709606,8305.830956,8665.501475,8620.432615,-23.6189994,-567.4210563,-784.3349129,-780.3764194,-779.690221,-446.2761804,-453.0579969,-445.1671615,-1346.120834,70.55134047,-773.5070586,-348.0980918,-2116.080672,1019.107029,-2701.626718,1511.891633,-2596.291006,996.235311,-2548.149824,882.1298927,-916.9623256,932.8561276,-617.5976992,1330.354512,-325.4229203,1793.079674,-363.099128,1824.264228,-1227.17306,1267.007142,932.8561276
3,-2693.383694,-2961.204648,-2955.468595,-2958.303392,-2910.41404,-2905.503809,-2910.30407,-2210.353166,-2127.84633,-2200.18968,-2177.763879,-847.1992612,-689.2895699,-1045.237407,-31.00490896,-1334.374696,-785.3616774,-1437.421441,-827.5617659,93.04046631,-89.90513161,-374.3423894,-51.8597709,885.174349,1038.628891,1022.091359,1064.270884,-208.7855339,37.13971702,10.09486839,-4718.731642,-5043.395162,-5047.946572,-5054.032207,-5065.792799,-5075.200796,-5089.640617,-5483.55937,-5723.110437,-4789.380133,-4835.53648,-4365.991354,-4697.97045,-2043.201476,-2102.053165,291.3815714,488.7054488,502.1860451,711.5879655,25.16287612,-32.57938428,3993.774652,3739.417195,7627.621889,7391.633391,8072.513938,7853.482962,8461.456299,8309.271336,-32.57938428,-635.4085356,-844.5265144,-840.6366408,-839.5115286,-511.3067105,-517.6172778,-510.2914944,-1440.855265,77.42197253,-824.2113888,-409.0794176,-2311.556041,917.8406,-2936.760783,1363.463998,-2550.615668,852.4762094,-2484.887242,729.5228541,-975.4162282,991.7414188,-652.4010748,1533.616781,-469.5219919,2087.472677,-512.7200112,2122.791708,-1349.194795,1662.177294,991.7414188
3.5,-3815.025985,-4201.018214,-4195.815921,-4202.340543,-4166.448116,-4163.886011,-4172.750413,-3622.187376,-3678.116202,-3347.263932,-3363.025188,-2045.280933,-2233.46144,-3254.352212,-1886.258125,-4290.648699,-2319.552302,-4459.800422,-2365.783453,200.2463862,-199.5136961,-1927.494109,-2264.456153,391.7481005,219.8421583,674.5250523,442.1428591,-98.73120114,-293.7441133,-99.51369613,-3007.747829,-3263.30483,-3266.25973,-3271.083236,-3282.320797,-3288.246393,-3300.27312,-3927.429914,-4128.108323,-3229.912519,-3263.778985,-3115.855455,-3643.719554,-416.3847119,-1119.873673,1882.592589,1382.329613,2063.58999,1559.713632,110.4564779,-120.596569,1738.527864,1047.112718,4467.193186,4006.542861,4804.833233,4402.187169,5943.398476,5415.532589,-120.596569,-1339.175701,-1524.88932,-1520.403326,-1518.881768,-1191.68967,-1199.497208,-1194.88813,-2165.513635,-725.486353,-1588.399559,-1164.44163,-3075.870574,270.0886503,-3751.032352,636.1925602,-3226.052225,168.1401953,-3199.222088,55.71826361,-990.73641,1007.917225,-1078.1914,1848.596632,25.75954655,3105.969131,104.7079451,3221.947551,32.90600143,3409.232795,1007.917225
4,-4865.980148,-5199.341774,-5196.170211,-5203.302503,-5175.628662,-5176.944733,-5191.041827,-4645.529687,-4739.120305,-4451.78926,-4463.852346,-3020.883799,-3220.131099,-3899.747729,-3457.831144,-4986.881912,-4369.214773,-5143.413544,-4444.262683,182.0551045,-187.6062714,-3212.837875,-2934.827805,-381.8398342,-490.9005016,-83.51266384,-289.6721661,-1115.52842,-1030.949876,-87.60627136,-1410.622746,-1573.020667,-1577.365994,-1576.175839,-1606.087238,-1611.199826,-1618.270874,-2223.601192,-2405.10717,-1663.321406,-1687.601656,-1709.662974,-2170.755118,1083.580554,228.3255383,3237.632811,2460.736185,3290.842772,2575.329244,95.7246311,-103.4903154,803.6524802,352.0932421,3798.137009,3219.907582,4145.257473,3608.30009,4709.000289,4325.314462,-103.4903154,-1547.08162,-1734.423339,-1729.320437,-1728.574336,-1396.70521,-1404.957175,-1398.873776,-2301.688492,-846.7434347,-1747.575849,-1324.99069,-3019.601107,136.7860381,-3633.645773,550.7153645,-3460.076153,287.9637294,-3387.902975,123.0980642,-989.5342588,1005.654931,-1405.296028,1641.379893,-560.9157309,3041.568398,-444.1270977,3202.076554,-191.4374158,3767.476678,1005.654931
4.5,-5221.162438,-5458.35793,-5458.170176,-5462.700129,-5452.21746,-5455.628037,-5471.425056,-4694.637358,-4825.860262,-4753.572047,-4770.671725,-3261.187375,-3424.87812,-3861.288726,-3983.107507,-4733.439684,-4825.588167,-4882.170558,-4876.255989,65.08955266,-72.52114825,-3334.778845,-3485.886753,-574.6482685,-713.4386897,-287.1569432,-464.8923129,-1471.3642,-1299.885064,27.47885175,-1320.804954,-1594.8084,-1600.843817,-1594.39683,-1577.98633,-1583.827585,-1586.976498,-2235.042006,-2193.220258,-1502.200216,-1466.709226,-1474.571079,-1674.353182,1121.82945,823.9441365,3421.382606,3310.801983,3495.489657,3434.164822,54.76055201,-56.84935022,666.0526991,394.4722563,3647.432327,3224.733472,4016.501307,3626.128137,4712.334275,4450.94645,-56.84935022,-1573.504806,-1786.487252,-1778.612584,-1781.055927,-1478.634924,-1487.687677,-1479.637623,-2233.822197,-860.4161441,-1701.904088,-1308.092773,-2901.622951,294.4093384,-3518.285453,632.6760352,-3309.306204,520.6915364,-3239.536881,322.9757771,-981.4445674,995.3363985,-1385.432929,1595.222056,-653.1753391,2940.572202,-606.3407287,3077.787161,-427.2510111,3458.168209,995.3363985
5,-5256.003141,-5504.748225,-5505.177975,-5509.326458,-5496.297479,-5500.165224,-5516.625047,-4764.447808,-4892.598987,-4796.920717,-4809.938669,-3348.83064,-3521.007597,-3952.77977,-4077.053368,-4896.224439,-4866.808653,-5049.812198,-4914.290905,46.82288971,-54.70121745,-3309.546709,-3609.056771,-838.8161659,-1074.930653,-587.1110409,-847.4399894,-1875.573397,-1803.408712,45.29878255,-1179.255694,-1437.176466,-1442.777514,-1435.8823,-1432.120353,-1437.482983,-1439.577043,-2105.648071,-2098.595798,-1383.341998,-1357.807219,-1400.721073,-1657.02045,1192.78118,856.5623313,3502.323031,3385.356069,3572.082222,3516.417146,43.64714026,-44.59327087,772.5028694,289.3465757,3704.976141,3284.489512,4077.716768,3715.618849,4762.766063,4531.686008,-44.59327087,-1536.899209,-1754.915714,-1746.899337,-1749.59451,-1444.381177,-1453.385502,-1444.874555,-2161.47095,-827.7731389,-1674.852967,-1273.104548,-2776.443064,477.2743583,-3311.630189,831.4292878,-3239.863515,665.6057388,-3156.083822,466.4103314,-982.9965234,996.4001179,-1393.953115,2022.380084,-796.9083637,3364.909291,-771.1385936,3501.637578,-736.3514602,3888.973594,996.4001179
5.5,-5251.525044,-5481.051803,-5481.548309,-5485.578179,-5488.638282,-5492.732525,-5508.71253,-4748.589993,-4927.725494,-4783.36513,-4829.81503,-3337.705135,-3561.063707,-3854.710162,-4025.871754,-4745.062292,-4772.226512,-4897.943437,-4820.829928,47.76769783,-55.64758088,-3301.104605,-3366.679549,-921.2130308,-1028.407887,-675.8151203,-818.3994889,-1924.141645,-1775.844991,44.35241912,-1465.094388,-1787.605286,-1792.842299,-1784.156412,-1665.277928,-1671.410352,-1669.814438,-2425.606996,-2268.450558,-1617.345661,-1428.677142,-1544.281989,-1748.583615,1037.716046,769.0253109,3364.911973,3255.750537,3447.827995,3385.976255,31.31340491,-31.87165363,690.7398254,265.941862,3709.855676,3356.895745,4081.388116,3801.634312,4763.213396,4599.992335,-31.87165363,-1863.870174,-2004.975528,-1995.572597,-1998.336315,-1735.342592,-1745.390147,-1734.578311,-2122.448236,-911.1758322,-1857.19803,-1520.311385,-2727.220356,526.3414979,-3252.005577,905.2193165,-3154.714108,666.2138551,-3044.896424,459.8652199,-982.0287675,995.1130301,-1294.441372,2157.707661,-376.0151565,3218.049705,-327.238515,3318.730295,-309.2985786,3607.048094,995.1130301
6,-5430.678129,-5545.685887,-5548.166037,-5551.096797,-5551.760793,-5555.878878,-5572.574139,-4673.056901,-4838.64367,-4952.994585,-4979.283214,-3445.495665,-3487.899601,-3852.760494,-4054.364562,-4648.173153,-4835.998714,-4802.753925,-4882.236123,-34.62948604,25.04798118,-3209.020197,-2839.125693,-1100.985557,-1179.851815,-894.8227018,-1062.936932,-2113.372535,-2084.438801,125.0479812,-1846.994311,-2168.772817,-2173.646837,-2165.5038,-2198.412716,-2205.200046,-2206.792086,-2587.859631,-2814.174891,-1882.335842,-1908.612996,-1615.068316,-1806.414276,930.9241176,715.5232877,3275.171816,3164.118826,3367.485702,3278.091848,22.98943698,-23.61407736,1669.123471,1663.248688,4892.543554,4947.858751,5268.425941,5386.736989,5723.189116,5986.161828,-23.61407736,-510.4179308,-772.081688,-762.4708861,-763.8467103,-452.1582648,-460.4712874,-448.8485679,-1290.24744,61.90753542,-685.0660592,-277.5406465,-1940.800548,1220.596656,-2192.378193,1666.471362,-1734.507382,1424.990892,-1590.487808,1247.324273,-994.5806116,1008.674502,-921.850875,1819.517612,186.5373366,2557.591498,264.1665749,2625.180483,248.715207,2731.295228,1008.674502
6.5,-5753.732324,-5858.67703,-5861.157179,-5865.84568,-5841.202736,-5845.071077,-5861.691833,-4924.857914,-5005.815625,-5278.822184,-5277.994275,-3512.954712,-3665.712774,-3603.262007,-4023.050666,-4284.148514,-4707.837999,-4448.590875,-4739.913046,29.84439023,-40.79379607,-2087.073624,-2806.611359,-1431.052536,-1768.756807,-1377.754807,-1722.095609,-2898.985445,-2785.988152,59.20620393,-1689.584702,-2015.868276,-2020.427734,-2013.618797,-2063.572705,-2070.914805,-2071.381211,-2522.176802,-2760.685086,-1786.223203,-1829.047501,-1705.353558,-1690.518856,799.4172722,786.8002355,3143.615425,3297.80072,3262.373805,3413.152099,-63.16471379,61.69157103,2961.986661,2887.501717,6530.747414,6273.722053,6933.975816,6723.012328,7247.180343,7310.426235,61.69157103,-395.4618052,-637.5300139,-627.8014183,-628.1565875,-267.2778629,-273.7299167,-265.8678964,-1206.91143,318.5756877,-590.1994184,-138.3823249,-1977.466643,1461.336613,-2334.894389,2020.773292,-1934.300065,1658.96982,-1825.888455,1494.899839,-1077.939048,1096.088663,-1145.720705,1138.76611,-699.4154304,2166.027725,-695.9035993,2244.262546,-1187.918335,2066.189796,1096.088663
